"filename", "language", "JSON with Comments", "Markdown", "JavaScript", "JSON", "XML", "TypeScript", "TypeScript JSX", "PostCSS", "MS SQL", "comment", "blank", "total"
"c:\Users\Utilizador\pairly-landing\src\app\api\teammates\reject-order\route.ts", "TypeScript", 0, 0, 0, 0, 0, 43, 0, 0, 0, 5, 13, 61
"c:\Users\Utilizador\pairly-landing\src\app\api\teammates\request-payout\route.ts", "TypeScript", 0, 0, 0, 0, 0, 72, 0, 0, 0, 7, 13, 92
"c:\Users\Utilizador\pairly-landing\src\app\api\teammates\stats\route.ts", "TypeScript", 0, 0, 0, 0, 0, 70, 0, 0, 0, 10, 13, 93
"c:\Users\Utilizador\pairly-landing\src\app\api\teammates\toggle-online\route.ts", "TypeScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 3, 10, 55
"c:\Users\Utilizador\pairly-landing\src\app\api\users\become-teammate\route.ts", "TypeScript", 0, 0, 0, 0, 0, 47, 0, 0, 0, 9, 10, 66
"c:\Users\Utilizador\pairly-landing\src\app\api\users\blocks\route.ts", "TypeScript", 0, 0, 0, 0, 0, 133, 0, 0, 0, 7, 24, 164
"c:\Users\Utilizador\pairly-landing\src\app\api\users\favourites\route.ts", "TypeScript", 0, 0, 0, 0, 0, 146, 0, 0, 0, 8, 25, 179
"c:\Users\Utilizador\pairly-landing\src\app\api\users\match-history\route.ts", "TypeScript", 0, 0, 0, 0, 0, 87, 0, 0, 0, 4, 9, 100
"c:\Users\Utilizador\pairly-landing\src\app\api\users\route.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 1, 3, 36
"c:\Users\Utilizador\pairly-landing\src\app\become-teammate\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 278, 0, 0, 3, 24, 305
"c:\Users\Utilizador\pairly-landing\src\app\coaching\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 147, 0, 0, 3, 11, 161
"c:\Users\Utilizador\pairly-landing\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 644, 0, 0, 20, 55, 719
"c:\Users\Utilizador\pairly-landing\src\app\dashboard\teammate\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 296, 0, 0, 12, 31, 339
"c:\Users\Utilizador\pairly-landing\src\app\duo\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 505, 0, 0, 31, 47, 583
"c:\Users\Utilizador\pairly-landing\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 6, 123
"c:\Users\Utilizador\pairly-landing\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 1, 4, 50
"c:\Users\Utilizador\pairly-landing\src\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 154, 0, 0, 12, 15, 181
"c:\Users\Utilizador\pairly-landing\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 86, 0, 0, 8, 6, 100
"c:\Users\Utilizador\pairly-landing\src\app\profile\administrator\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 418, 0, 0, 19, 41, 478
"c:\Users\Utilizador\pairly-landing\src\app\profile\customer\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 675, 0, 0, 28, 57, 760
"c:\Users\Utilizador\pairly-landing\src\app\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 3, 5, 41
"c:\Users\Utilizador\pairly-landing\src\app\profile\teammate\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 487, 0, 0, 27, 43, 557
"c:\Users\Utilizador\pairly-landing\src\app\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 364, 0, 0, 18, 28, 410
"c:\Users\Utilizador\pairly-landing\src\app\tournaments\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 385, 0, 0, 18, 43, 446
"c:\Users\Utilizador\pairly-landing\src\components\AdminOrdersView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 255, 0, 0, 4, 26, 285
"c:\Users\Utilizador\pairly-landing\src\components\AdminTeammatesView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 292, 0, 0, 5, 28, 325
"c:\Users\Utilizador\pairly-landing\src\components\AdminUserManagement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 394, 0, 0, 6, 34, 434
"c:\Users\Utilizador\pairly-landing\src\components\ChatInterface.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 188, 0, 0, 9, 21, 218
"c:\Users\Utilizador\pairly-landing\src\components\FeatureCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\Utilizador\pairly-landing\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 6, 109
"c:\Users\Utilizador\pairly-landing\src\components\GameSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 114, 0, 0, 2, 8, 124
